owner_name,business_name,business_website,yelp_website,phone_number,review_rating,number_of_reviews,business_categories
,Club Pilates Denver 2,clubpilates.com,https://www.yelp.com/biz/club-pilates-denver-2?osq=fitness,(720) 233-1352,,,"['Pilates', 'Yoga']"
,Elite24 Englewood,elite24denver.com,https://www.yelp.com/biz/elite24-englewood?osq=fitness,(843) 407-8743,,,"['Boot Camps', 'Boxing', 'Nutritionists']"
Shari W.,Iron Clad Fitness Denver,ironcladfit.com,https://www.yelp.com/biz/iron-clad-fitness-denver?osq=fitness,(720) 900-4766,,,"['Trainers', 'Gyms']"
,24 Hour Fitness Aurora Aurora 2,24hourfitness.com,https://www.yelp.com/biz/24-hour-fitness-aurora-aurora-2?osq=fitness,(303) 481-1289,,,"['Gyms', 'Trainers']"
Ryan K.,Chuze Fitness Denver,chuzefitness.com,https://www.yelp.com/biz/chuze-fitness-denver?osq=fitness,(720) 548-5060,,,"['Gyms', 'Trainers', 'Tanning']"
Jason S.,Icelandic Fitness Denver 3,icelandicfitness.com,https://www.yelp.com/biz/icelandic-fitness-denver-3?osq=fitness,(303) 641-8149,,,"['Trainers', 'Gyms', 'Sports Clubs']"
,Anytime Fitness Stapleton,anytimefitness.com,https://www.yelp.com/biz/anytime-fitness-stapleton?osq=fitness,(720) 242-9948,,,"['Gyms', 'Trainers']"
,Zone Athletic Club Cherry Creek Denver,zoneathleticclubs.com,https://www.yelp.com/biz/zone-athletic-club-cherry-creek-denver?osq=fitness,(303) 333-0123,,,['Gyms']
,Crossfit 1098 Denver,crossfit1098.com,https://www.yelp.com/biz/crossfit-1098-denver?osq=fitness,(720) 982-4144,,,['Interval Training Gyms']
,Life Time Denver,lifetime.life,https://www.yelp.com/biz/life-time-denver?osq=fitness,(303) 399-3050,,,"['Barre Classes', 'Trainers', 'Yoga']"
,Pillar Of Strength Denver,pillarofstrengthstudio.com,https://www.yelp.com/biz/pillar-of-strength-denver?osq=fitness,(720) 941-8971,,,"['Pilates', 'Gyms']"
Rob L.,The Perpetual Solution Denver,theperpetualsolution.com,https://www.yelp.com/biz/the-perpetual-solution-denver?osq=fitness,(847) 337-3733,,,"['Trainers', 'Life Coach']"
Kalyn H.,Pure Barre Denver 3,purebarre.com,https://www.yelp.com/biz/pure-barre-denver-3?osq=fitness,(303) 997-8054,,,"['Barre Classes', 'Pilates']"
Natalia R.,Meteor Transformation Coaching Lakewood,meteortransformationcoaching.c…,https://www.yelp.com/biz/meteor-transformation-coaching-lakewood?osq=fitness,(406) 839-4021,,,"['Life Coach', 'Trainers', 'Nutritionists']"
,Hiawatha Davis Recreation Center Denver,denvergov.org/parksandrecreati…,https://www.yelp.com/biz/hiawatha-davis-recreation-center-denver?osq=fitness,(720) 865-0590,,,"['Gyms', 'Recreation Centers']"
Jen D.,Ph7 Pilates Denver 2,ph7pilates.com,https://www.yelp.com/biz/ph7-pilates-denver-2?osq=fitness,(720) 235-2131,,,"['Pilates', 'Yoga']"
Andrew P.,Chuze Fitness Aurora,chuzefitness.com/gym-locations…,https://www.yelp.com/biz/chuze-fitness-aurora?osq=fitness,(720) 716-2434,,,"['Gyms', 'Trainers', 'Tanning']"
Angela T.,Med Fit Medical Weight Loss Denver 2,denverweightlossclinic.com,https://www.yelp.com/biz/med-fit-medical-weight-loss-denver-2?osq=fitness,(720) 487-7688,['3.5'],,['Weight Loss Centers']
Melissa W.,Fierce45 Hilltop Denver 2,fierce45.com,https://www.yelp.com/biz/fierce45-hilltop-denver-2?osq=fitness,(303) 333-4950,,,"['Gyms', 'Trainers']"
David J.,Level 3 Fitness Denver,level3fit.com,https://www.yelp.com/biz/level-3-fitness-denver?osq=fitness,(303) 357-2541,,,"['Physical Therapy', 'Gyms', 'Trainers']"
Sean S.,Colorado Brazilian Jiu Jitsu Satori Denver,jiujitsucolorado.com,https://www.yelp.com/biz/colorado-brazilian-jiu-jitsu-satori-denver?osq=fitness,(303) 520-0163,,,['Brazilian Jiu-jitsu']
Tayler U.,Colorado Fitness And Strength Denver,crossfitstapleton.com,https://www.yelp.com/biz/colorado-fitness-and-strength-denver?osq=fitness,(315) 489-7445,,,"['Trainers', 'Gyms', 'Nutritionists']"
tiger K.,World Martial Arts Supply And Gifts Denver,worldmartialartssupply.wordpre…,https://www.yelp.com/biz/world-martial-arts-supply-and-gifts-denver?osq=fitness,(303) 388-0195,,,"['Sports Wear', 'Karate', 'Kickboxing']"
,Root To Rise Yoga Denver 2,yogapod.com,https://www.yelp.com/biz/root-to-rise-yoga-denver-2?osq=fitness,(720) 372-7129,,,"['Yoga', 'Aerial Fitness']"
,Kara Siedman Dietician Denver,rockymountaingastro.com/about/…,https://www.yelp.com/biz/kara-siedman-dietician-denver?osq=fitness,(303) 388-6874,['3.8'],,['Nutritionists']
Katie F.,Earthivore Denver 4,earthivore.com,https://www.yelp.com/biz/earthivore-denver-4?osq=fitness,(415) 613-5619,,,"['Nutritionists', 'Cooking Classes']"
Charlotte B.,Training By Charlotte Aurora,trainingbycharlotte.com,https://www.yelp.com/biz/training-by-charlotte-aurora?osq=fitness,(720) 839-2970,,,"['Weight Loss Centers', 'Trainers']"
Radcliff D.,Rad Muay Thai Aurora,radmtfitness.com,https://www.yelp.com/biz/rad-muay-thai-aurora?osq=fitness,(303) 668-7946,,,"['Muay Thai', 'Kickboxing', 'Brazilian Jiu-jitsu']"
,The Pilates Collective Denver 2,pilatescollectivedenver.com,https://www.yelp.com/biz/the-pilates-collective-denver-2?osq=fitness,(720) 459-8913,,,['Pilates']
Brian C.,Progressive Combat Systems Aurora,progressivecombatsystems.com,https://www.yelp.com/biz/progressive-combat-systems-aurora?osq=fitness,(303) 435-0025,,,"['Martial Arts', 'Trainers']"
,Synapse Strength And Movement Denver,synapsestrength.com,https://www.yelp.com/biz/synapse-strength-and-movement-denver?osq=fitness,(720) 460-9251,,,['Gyms']
,Aurora Center For Active Adults Aurora,auroragov.org,https://www.yelp.com/biz/aurora-center-for-active-adults-aurora?osq=fitness,(303) 739-7950,,,['Fitness & Instruction']
,Orangetheory Fitness Cherry Creek Denver,orangetheory.com/en-us/locatio…,https://www.yelp.com/biz/orangetheory-fitness-cherry-creek-denver?osq=fitness,(720) 767-1557,,,"['Boot Camps', 'Gyms', 'Trainers']"
,Green Valley Ranch Recreation Center Denver,,https://www.yelp.com/biz/green-valley-ranch-recreation-center-denver?osq=fitness,(303) 375-3857,,,['Gyms']
Lindsay W.,Kali Strength Denver,kalistrength.com,https://www.yelp.com/biz/kali-strength-denver?osq=fitness,(720) 483-8447,,,['Interval Training Gyms']
,Hard Candy Dance Studio Denver,hardcandydancestudio.com,https://www.yelp.com/biz/hard-candy-dance-studio-denver?osq=fitness,(303) 593-0602,,,"['Dance Studios', 'Aerial Fitness', 'Arts & Entertainment']"
,Crossfit Park Hill Denver 2,crossfitparkhill.com,https://www.yelp.com/biz/crossfit-park-hill-denver-2?osq=fitness,(720) 257-4264,,,['Interval Training Gyms']
Julia D.,Endorphin City Park Denver 4,myendorphin.com,https://www.yelp.com/biz/endorphin-city-park-denver-4?osq=fitness,(303) 993-4041,,,"['Yoga', 'Boot Camps', 'Cycling Classes']"
,Gain Fitness Denver,trainer.gainfitness.com,https://www.yelp.com/biz/gain-fitness-denver?osq=fitness,(415) 787-9279,,,['Trainers']
Leah B.,Pilates Bodies Of Denver Denver,pilatesbodiesofdenver.com,https://www.yelp.com/biz/pilates-bodies-of-denver-denver?osq=fitness,(303) 394-6002,,,['Pilates']
,Bikram Yoga Mile High Denver,bikramyogamilehigh.com,https://www.yelp.com/biz/bikram-yoga-mile-high-denver?osq=fitness,(303) 377-2227,,,['Yoga']
,Core Progression Central Park Denver,coreprogression.com,https://www.yelp.com/biz/core-progression-central-park-denver?osq=fitness,(720) 740-5462,,,"['Weight Loss Centers', 'Nutritionists', 'Trainers']"
,Hustle Denver Aurora,hustledenver.com,https://www.yelp.com/biz/hustle-denver-aurora?osq=fitness,(307) 286-4511,,,['Trainers']
,Mi Casa Nutrition Aurora,,https://www.yelp.com/biz/mi-casa-nutrition-aurora?osq=fitness,(303) 725-4103,,,"['Juice Bars & Smoothies', 'Nutritionists', 'Dance Studios']"
,Lmi Fitness Aurora,lmifit.com,https://www.yelp.com/biz/lmi-fitness-aurora?osq=fitness,(720) 588-8311,,,['Gyms']
,Axistence Athletics Denver 5,axistenceathletics.com,https://www.yelp.com/biz/axistence-athletics-denver-5?osq=fitness,(720) 440-2203,,,"['Gyms', 'Trainers']"
,Ascent Fitness Denver,,https://www.yelp.com/biz/ascent-fitness-denver?osq=fitness,,,,[]
,Jcc Fitness And Wellness Center Denver,jccdenver.org/fitness,https://www.yelp.com/biz/jcc-fitness-and-wellness-center-denver?osq=fitness,(303) 399-2660,,,"['Gyms', 'Swimming Lessons/Schools', 'Pilates']"
Brian C.,Copelands Core Fitness Aurora,bccorefitness.com,https://www.yelp.com/biz/copelands-core-fitness-aurora?osq=fitness,(303) 435-0025,,,"['Trainers', 'Gyms']"
Yael And Daphna B.,Little Kickers Swim School Denver,littlekickersco.com,https://www.yelp.com/biz/little-kickers-swim-school-denver?osq=fitness,(720) 608-1590,,,['Swimming Lessons/Schools']
Matthew H.,Green Door Fitness Denver,greendoorfitness.com,https://www.yelp.com/biz/green-door-fitness-denver?osq=fitness,(303) 667-7047,,,"['Trainers', 'Gyms']"
Alex D.,Schlessman Family Ymca Denver 3,denverymca.org/university-hill…,https://www.yelp.com/biz/schlessman-family-ymca-denver-3?osq=fitness,(720) 524-2750,,,"['Gyms', 'Pilates', 'Yoga']"
,Good Vibes Fitness Denver,,https://www.yelp.com/biz/good-vibes-fitness-denver?osq=fitness,,,,['Trainers']
,Hensey Sports Denver 2,henseysports.com,https://www.yelp.com/biz/hensey-sports-denver-2?osq=fitness,(978) 267-5047,,,"['Golf Equipment', 'Golf Lessons', 'Life Coach']"
,Bodybuildingballet Denver 2,bbballet.com,https://www.yelp.com/biz/bodybuildingballet-denver-2?osq=fitness,(832) 746-2556,,,['Trainers']
,Gymnastics Plus Denver 3,coloradogymplus.com,https://www.yelp.com/biz/gymnastics-plus-denver-3?osq=fitness,(303) 512-0799,,,['Gyms']
Jennifer M.,Koko Fitclub Of Denver Denver 3,kokodenver.com,https://www.yelp.com/biz/koko-fitclub-of-denver-denver-3?osq=fitness,(303) 872-8380,,,"['Gyms', 'Trainers', 'Cardio Classes']"
Brad W.,Summit Fitness Denver,summitfitnessllc.com,https://www.yelp.com/biz/summit-fitness-denver?osq=fitness,(303) 862-9301,,,"['Trainers', 'Gyms']"
Lauren W.,Belly Bliss Denver 3,bellybliss.org,https://www.yelp.com/biz/belly-bliss-denver-3?osq=fitness,(303) 399-1191,,,"['Yoga', 'Massage', 'Chiropractors']"
,Pilates Evolution Cherry Creek Denver,pilatesevolutioncherrycreek.co…,https://www.yelp.com/biz/pilates-evolution-cherry-creek-denver?osq=fitness,(303) 377-0982,,,['Pilates']
Amy D.,Body By Amy Wheat Ridge,bodybyamyd.com,https://www.yelp.com/biz/body-by-amy-wheat-ridge?osq=fitness,(585) 350-8762,,,"['Trainers', 'Boot Camps', 'Nutritionists']"
Customer Service,Planet Fitness Glendale 6,planetfitness.com,https://www.yelp.com/biz/planet-fitness-glendale-6?osq=fitness,(720) 826-1100,,,"['Gyms', 'Trainers']"
,Kick Fit Athletics Denver,,https://www.yelp.com/biz/kick-fit-athletics-denver?osq=fitness,(303) 756-9722,,,['Martial Arts']
Geoff G.,Evoswing Golf Instruction Aurora,evoswinggolf.com,https://www.yelp.com/biz/evoswing-golf-instruction-aurora?osq=fitness,(303) 569-2084,,,['Golf Lessons']
Micah M.,Venture Martial Arts Central Park Denver,venturemartialarts.com,https://www.yelp.com/biz/venture-martial-arts-central-park-denver?osq=fitness,(303) 928-0043,,,['Martial Arts']
Rachel M.,Rachel Mcphee Parker 2,,https://www.yelp.com/biz/rachel-mcphee-parker-2?osq=fitness,(970) 581-7456,['5.0'],,"['Life Coach', 'Health Coach', 'Nutritionists']"
Greg D.,Birthday Suit Tailor Aurora,birthdaysuittailor.com,https://www.yelp.com/biz/birthday-suit-tailor-aurora?osq=fitness,(303) 881-5016,,,['Trainers']
,Stapleton Personalized Training Denver,,https://www.yelp.com/biz/stapleton-personalized-training-denver?osq=fitness,(303) 588-4472,,,['Trainers']
,Edge Mma And Fitness Denver,grapplers-edge.com,https://www.yelp.com/biz/edge-mma-and-fitness-denver?osq=fitness,(303) 433-3343,,,['Martial Arts']
,Lavvany Spa And Lady S Spot Center Aurora,,https://www.yelp.com/biz/lavvany-spa-and-lady-s-spot-center-aurora?osq=fitness,(303) 344-5000,,,"['Gyms', 'Boot Camps', 'Yoga']"
Customer Service,Planet Fitness Aurora 9,planetfitness.com,https://www.yelp.com/biz/planet-fitness-aurora-9?osq=fitness,(720) 476-4535,,,"['Gyms', 'Trainers']"
,Fitness Ignition Denver,fitnessignition.com,https://www.yelp.com/biz/fitness-ignition-denver?osq=fitness,(720) 587-7038,,,['Trainers']
,Way Of Jiu Jitsu Aurora Aurora,wayofjiujitsu.com,https://www.yelp.com/biz/way-of-jiu-jitsu-aurora-aurora?osq=fitness,(303) 246-8855,,,"['Brazilian Jiu-jitsu', 'Self-defense Classes']"
Milt M.,Body Fat Usa Denver,bodyfatusa.com,https://www.yelp.com/biz/body-fat-usa-denver?osq=fitness,(303) 758-9552,,,['Fitness & Instruction']
,Lagree Luxe Cherry Creek Denver,lagreeluxe.com,https://www.yelp.com/biz/lagree-luxe-cherry-creek-denver?osq=fitness,(720) 260-4338,,,['Gyms']
,Dardanos School Of Gymnastics Denver,dardanosgymnastics.com,https://www.yelp.com/biz/dardanos-school-of-gymnastics-denver?osq=fitness,(303) 355-0080,,,['Gyms']
Jaclyn E J.,Reds Pilates Garage Denver,redspilatesgarage.com,https://www.yelp.com/biz/reds-pilates-garage-denver?osq=fitness,(720) 515-9101,,,['Pilates']
,Club Pilates Coming Soon Denver,clubpilates.com,https://www.yelp.com/biz/club-pilates-coming-soon-denver?osq=fitness,(303) 731-6256,,,['Pilates']
,Self Defined Fitness Pro Gym Aurora,sdfgym.com,https://www.yelp.com/biz/self-defined-fitness-pro-gym-aurora?osq=fitness,(303) 574-9000,,,['Gyms']
,Lowry Denver Kickhouse Denver,thekickhouse.com,https://www.yelp.com/biz/lowry-denver-kickhouse-denver?osq=fitness,(303) 355-5576,,,['Kickboxing']
,Swim With Ms Carole Denver,swimwithmscarole.com,https://www.yelp.com/biz/swim-with-ms-carole-denver?osq=fitness,(303) 520-8020,,,['Swimming Lessons/Schools']
,Kickhouse Denver 2,thekickhouse.com,https://www.yelp.com/biz/kickhouse-denver-2?osq=fitness,(303) 355-5576,,,['Kickboxing']
Elena K.,Experiencegolf Aurora,experiencegolf.biz,https://www.yelp.com/biz/experiencegolf-aurora?osq=fitness,(303) 503-0455,,,"['Golf', 'Golf Lessons']"
,Final Round Fitness Aurora 2,finalroundfit.com,https://www.yelp.com/biz/final-round-fitness-aurora-2?osq=fitness,(720) 843-4683,,,['Cardio Classes']
Howard W.,Halfhourpower Denver,halfhourpower.com,https://www.yelp.com/biz/halfhourpower-denver?osq=fitness,(720) 985-8892,,,"['Trainers', 'Gyms']"
Jessie F.,Prestige Fitness Aurora Aurora 2,zoneathleticclubs.com,https://www.yelp.com/biz/prestige-fitness-aurora-aurora-2?osq=fitness,(303) 755-9955,,,"['Gyms', 'Boot Camps', 'Yoga']"
Jordan N.,The New Healthy You Denver,thenewhealthyyou.com,https://www.yelp.com/biz/the-new-healthy-you-denver?osq=fitness,(720) 261-5382,,,['Yoga']
,F45 Training Cory Merrill Denver,f45training.com/corymerrill/ho…,https://www.yelp.com/biz/f45-training-cory-merrill-denver?osq=fitness,(720) 414-2563,,,['Interval Training Gyms']
,Physio Pro Powered By Evolution Denver 3,physio-pro.com,https://www.yelp.com/biz/physio-pro-powered-by-evolution-denver-3?osq=fitness,(303) 370-2670,,,"['Physical Therapy', 'Sports Medicine', 'Pilates']"
,Orangetheory Fitness Denver Glendale Denver,orangetheory.com/en-us/locatio…,https://www.yelp.com/biz/orangetheory-fitness-denver-glendale-denver?osq=fitness,(303) 996-8854,,,"['Gyms', 'Boot Camps', 'Trainers']"
,Buckley Fitness Center Aurora,,https://www.yelp.com/biz/buckley-fitness-center-aurora?osq=fitness,(720) 847-6679,,,"['Gyms', 'Boot Camps', 'Yoga']"
,Orangetheory Fitness Lowry Denver,orangetheory.com/en-us/locatio…,https://www.yelp.com/biz/orangetheory-fitness-lowry-denver?osq=fitness,(303) 366-3311,,,"['Gyms', 'Boot Camps', 'Trainers']"
,Mile High Fitness And Wellness Denver 2,,https://www.yelp.com/biz/mile-high-fitness-and-wellness-denver-2?osq=fitness,,,,[]
Rachel G.,Nutritionworks Denver,nutritionworksofcolorado.com,https://www.yelp.com/biz/nutritionworks-denver?osq=fitness,(720) 556-3113,,,"['Trainers', 'Nutritionists', 'Life Coach']"
Doniphan S.,Fearless Personal Training Denver,fearlesspt.com,https://www.yelp.com/biz/fearless-personal-training-denver?osq=fitness,(303) 249-3353,,,"['Trainers', 'Boot Camps', 'Yoga']"
Justin P.,Summit Elite Training Denver,summitelitetraining.com,https://www.yelp.com/biz/summit-elite-training-denver?osq=fitness,(720) 432-7387,,,"['Trainers', 'Boot Camps']"
,Crossfit Terra Nova Aurora,crossfitterranova.com,https://www.yelp.com/biz/crossfit-terra-nova-aurora?osq=fitness,(720) 231-7834,,,['Interval Training Gyms']
Chris T.,Hard Assets Fitness Denver,,https://www.yelp.com/biz/hard-assets-fitness-denver?osq=fitness,(720) 432-7780,,,['Boot Camps']
Grand Grand Master G.,Tiger Kims Academy Denver,tigerkim.com,https://www.yelp.com/biz/tiger-kims-academy-denver?osq=fitness,(303) 388-1408,,,['Martial Arts']
,Kinetic Fitness Denver,,https://www.yelp.com/biz/kinetic-fitness-denver?osq=fitness,(303) 377-6013,,,['Gyms']
Karlyn G.,Park Hill Dance Academy Denver 2,parkhilldanceacademy.com,https://www.yelp.com/biz/park-hill-dance-academy-denver-2?osq=fitness,(303) 975-6111,,,"['Dance Schools', 'Summer Camps', 'Dance Studios']"
,Jlm Therapeutics Denver,jlmtherapeutics.com,https://www.yelp.com/biz/jlm-therapeutics-denver?osq=fitness,(720) 935-9980,,,"['Massage', 'Yoga']"
Steven T.,Yogasix Boulevard One Denver 2,yogasix.com,https://www.yelp.com/biz/yogasix-boulevard-one-denver-2?osq=fitness,(720) 706-0656,,,"['Yoga', 'Pilates']"
